time,open,high,low,close,volume
2023-08-24 10:34:00,1667.06,1667.39,1667.06,1667.29,160.741
2023-08-24 10:35:00,1667.29,1667.60,1666.91,1667.59,446.077
2023-08-24 10:36:00,1667.60,1667.70,1667.41,1667.70,383.816
2023-08-24 10:37:00,1667.70,1667.75,1667.60,1667.69,473.485
2023-08-24 10:38:00,1667.70,1667.75,1667.24,1667.75,500.201
2023-08-24 10:39:00,1667.74,1667.74,1667.00,1667.00,316.245
2023-08-24 10:40:00,1667.00,1667.00,1665.97,1665.97,1055.141
2023-08-24 10:41:00,1665.97,1665.97,1665.49,1665.49,991.356
2023-08-24 10:42:00,1665.49,1665.94,1664.99,1665.76,1008.148
2023-08-24 10:43:00,1665.77,1665.84,1665.53,1665.84,330.867
2023-08-24 10:44:00,1665.84,1666.00,1665.80,1665.81,965.599
2023-08-24 10:45:00,1665.81,1665.81,1665.20,1665.53,825.737
2023-08-24 10:46:00,1665.53,1665.80,1665.53,1665.78,543.870
2023-08-24 10:47:00,1665.78,1665.93,1665.36,1665.80,863.876
2023-08-24 10:48:00,1665.80,1665.88,1665.36,1665.37,370.322
2023-08-24 10:49:00,1665.36,1665.37,1664.89,1664.89,501.009
2023-08-24 10:50:00,1664.89,1664.89,1664.48,1664.79,1585.386
2023-08-24 10:51:00,1664.79,1665.00,1664.65,1664.72,495.214
2023-08-24 10:52:00,1664.72,1664.73,1663.56,1663.57,1824.518
2023-08-24 10:53:00,1663.56,1663.57,1663.11,1663.35,1777.850
2023-08-24 10:54:00,1663.35,1663.94,1663.20,1663.31,1368.977
2023-08-24 10:55:00,1663.32,1664.12,1663.31,1664.10,865.088
2023-08-24 10:56:00,1664.10,1664.81,1664.09,1664.51,962.928
2023-08-24 10:57:00,1664.52,1664.52,1664.16,1664.16,646.279
2023-08-24 10:58:00,1664.16,1665.45,1664.04,1665.20,952.415
2023-08-24 10:59:00,1665.21,1665.64,1665.20,1665.21,479.123
2023-08-24 11:00:00,1665.20,1665.29,1664.28,1664.39,1022.148
2023-08-24 11:01:00,1664.40,1664.52,1661.68,1663.27,5301.687
2023-08-24 11:02:00,1663.28,1663.82,1662.83,1662.90,2385.347
2023-08-24 11:03:00,1662.91,1663.53,1662.33,1663.20,1623.781
2023-08-24 11:04:00,1663.21,1663.91,1662.95,1663.35,1451.372
2023-08-24 11:05:00,1663.35,1664.15,1663.02,1664.15,1891.956
2023-08-24 11:06:00,1664.16,1664.31,1662.82,1663.65,1392.964
2023-08-24 11:07:00,1663.66,1665.32,1663.66,1664.80,1420.574
2023-08-24 11:08:00,1664.81,1665.32,1664.25,1665.13,919.950
2023-08-24 11:09:00,1665.13,1665.13,1663.79,1663.79,619.652
2023-08-24 11:10:00,1663.79,1664.24,1663.20,1663.72,823.468
2023-08-24 11:11:00,1663.71,1664.20,1663.57,1663.58,278.404
2023-08-24 11:12:00,1663.57,1663.57,1662.11,1662.15,1919.343
2023-08-24 11:13:00,1662.15,1663.55,1662.15,1663.00,1185.715
2023-08-24 11:14:00,1663.01,1663.17,1662.30,1662.31,1422.166
2023-08-24 11:15:00,1662.30,1662.31,1661.03,1661.55,2897.014
2023-08-24 11:16:00,1661.53,1662.56,1661.00,1662.56,2495.646
2023-08-24 11:17:00,1662.55,1663.35,1662.55,1663.02,1671.595
2023-08-24 11:18:00,1663.02,1663.10,1660.86,1661.75,3029.245
2023-08-24 11:19:00,1661.75,1662.19,1660.08,1660.72,3729.943
2023-08-24 11:20:00,1660.71,1661.83,1660.50,1661.29,2021.999
2023-08-24 11:21:00,1661.29,1663.03,1661.29,1663.03,1365.706
2023-08-24 11:22:00,1663.02,1663.38,1662.67,1663.37,913.173
2023-08-24 11:23:00,1663.37,1663.86,1663.20,1663.42,1260.061
2023-08-24 11:24:00,1663.42,1663.74,1663.14,1663.59,612.592
2023-08-24 11:25:00,1663.59,1663.69,1663.20,1663.68,377.119
2023-08-24 11:26:00,1663.69,1664.55,1663.68,1664.27,1228.887
2023-08-24 11:27:00,1664.26,1664.64,1664.26,1664.51,687.051
2023-08-24 11:28:00,1664.50,1664.70,1664.24,1664.68,1202.779
2023-08-24 11:29:00,1664.68,1664.87,1664.37,1664.66,988.442
2023-08-24 11:30:00,1664.67,1664.85,1663.87,1664.00,1518.036
2023-08-24 11:31:00,1664.01,1664.03,1663.17,1663.70,1706.428
2023-08-24 11:32:00,1663.70,1663.89,1663.70,1663.80,377.327
2023-08-24 11:33:00,1663.81,1664.45,1663.58,1663.86,1278.411
2023-08-24 11:34:00,1663.86,1664.40,1663.50,1664.27,416.816
2023-08-24 11:35:00,1664.27,1665.00,1664.27,1664.92,1253.458
2023-08-24 11:36:00,1664.92,1665.00,1663.28,1663.33,928.433
2023-08-24 11:37:00,1663.32,1663.46,1661.56,1661.56,1885.646
2023-08-24 11:38:00,1661.56,1661.80,1660.03,1660.24,3025.554
2023-08-24 11:39:00,1660.24,1661.00,1658.25,1660.34,9329.786
2023-08-24 11:40:00,1660.33,1660.33,1658.12,1659.00,4666.031
2023-08-24 11:41:00,1659.00,1660.38,1658.36,1660.01,2920.824
2023-08-24 11:42:00,1660.01,1660.94,1660.00,1660.81,1310.835
